®É¶¡,x,y,z,roll,pitch,»~®t­È
14:59:32,0.01,0.01,-0.88,-178.05,0.19,0.37
14:59:32,0,0.05,-1.16,-177.75,0.19,0.28
14:59:33,-0.01,0.07,-0.94,-176.33,0.17,0.22
14:59:33,0,0.05,-1.19,-177.12,0.08,0.25
14:59:34,0.05,0.02,-0.84,-177.68,1.44,0.35
14:59:35,-0.03,0.09,-0.95,-176.26,-0.1,0.11
14:59:35,0,0.05,-0.99,-176.56,0.07,0.04
14:59:35,-0.03,0.01,-1.05,-178.39,-0.9,0.06
14:59:36,-0.01,0.06,-0.82,-177.25,-0.11,0.23
14:59:37,0.02,0.05,-1.27,-177.87,0.27,0.45
14:59:37,0.01,0.03,-0.99,-178.13,0.35,0.28
14:59:38,0.02,0.05,-0.86,-176.87,0.54,0.13
14:59:38,-0.02,0.08,-0.94,-176.09,-0.18,0.08
14:59:39,0.01,0.04,-1.21,-177.13,0.23,0.27
14:59:39,0.03,0.04,-0.8,-177.17,0.96,0.41
14:59:39,0.02,0.04,-0.95,-177.53,1.18,0.15
14:59:40,-0.01,0.08,-1.2,-176.83,0.31,0.25
14:59:40,-0.01,0.09,-1.11,-176.14,-0.45,0.09
14:59:41,-0.02,0.08,-1.18,-176.18,-0.61,0.07
14:59:41,-0.01,0.06,-0.88,-176.07,-0.68,0.3
14:59:41,0.01,0.08,-0.93,-175.65,0,0.05
14:59:42,0.02,0.07,-1.12,-175.94,0.53,0.19
14:59:42,-0.02,0.07,-1.19,-176.41,-0.15,0.07
14:59:42,0,0.11,-0.93,-175.09,-0.08,0.26
14:59:43,-0.01,0.09,-0.99,-175.07,-0.37,0.06
14:59:43,0.01,0.07,-1.14,-175.71,0.03,0.15
14:59:44,-0.01,0.07,-1.18,-176.08,-0.28,0.04
14:59:44,0.04,0.09,-0.86,-175.3,1.07,0.32
14:59:44,-0.03,0.06,-1.08,-176.14,-0.24,0.22
14:59:45,0,0.09,-1.21,-176.03,-0.01,0.13
14:59:45,0.01,0.11,-0.96,-174.96,0.21,0.25
14:59:45,-0.07,0.08,-1.01,-175.26,-1.96,0.05
14:59:46,-0.04,0.1,-1.21,-175.33,-1.8,0.2
14:59:46,0.02,0.1,-1,-174.79,-0.53,0.21
14:59:46,-0.01,0.04,-1.23,-176.62,-0.44,0.23
14:59:47,0.02,0.07,-1.13,-176.63,0.37,0.1
14:59:47,-0.03,0.04,-1.03,-177.91,-1.43,0.1
14:59:48,0.03,0.09,-0.93,-176.27,0.05,0.1
14:59:48,0.02,0.07,-1.26,-176.47,0.42,0.33
14:59:48,0.02,0.04,-0.99,-177.07,0.86,0.27
14:59:49,-0.02,0.02,-0.77,-177.81,-0.24,0.22
14:59:49,-0.03,0.07,-0.85,-176.54,-0.67,0.08
14:59:50,0.04,0,-1.11,-178.32,0.69,0.26
14:59:51,-0.04,0.01,-0.76,-178.66,-0.86,0.35
14:59:51,-0.05,0.05,-0.81,-178.17,-1.27,0.05
14:59:53,-0.07,0.08,-1,-176.67,-2.71,0.19
14:59:53,0.05,0,-1.22,-178.44,0.15,0.22
14:59:54,-0.05,0.11,-0.86,-175.7,-1.2,0.36
14:59:55,0.03,0.03,-1.1,-177.24,0.21,0.24
14:59:55,-0.05,0.02,-0.76,-177.92,-1.64,0.34
14:59:56,0,0.02,-1.21,-178.48,-0.59,0.45
14:59:57,0,0,-1.09,-179.36,-0.18,0.12
14:59:57,0.02,0.01,-1.28,-179.42,0.49,0.19
14:59:57,0.04,0.1,-0.95,-177.04,1.33,0.33
14:59:58,-0.02,0.03,-1.25,-177.97,0.22,0.3
14:59:58,0.04,-0.02,-1.05,-179.34,1.03,0.2
14:59:58,-0.05,0.09,-0.82,-177.06,-0.81,0.23
14:59:59,0.02,-0.01,-1.17,-178.89,0.16,0.35
14:59:59,0.02,0.05,-0.8,-177.92,0.81,0.37
15:00:00,-0.01,0,-1.03,-179.01,0.04,0.23
15:00:01,0.02,-0.02,-1.14,179.93,0.55,0.11
15:00:02,-0.02,-0.02,-1.21,179.48,-0.33,0.07
15:00:02,0.03,0.04,-0.79,-179.15,0.73,0.42
15:00:03,0.02,0.05,-1.23,-177.33,0.26,0.44
15:00:03,0.04,-0.01,-0.97,-178.79,1.33,0.26
15:00:03,-0.07,0.04,-0.82,-178,-1.55,0.15
15:00:04,-0.01,0.07,-0.84,-177.78,-0.45,0.02
15:00:04,-0.03,0.06,-1,-177.19,-1.15,0.16
15:00:05,0.04,-0.02,-0.97,-179.57,0.97,0.03
15:00:05,0.02,0,-1.13,-179.09,-0.19,0.16
15:00:06,-0.02,0.01,-1.21,-179.38,-0.68,0.08
15:00:07,0.01,-0.03,-0.89,-179.44,0.12,0.32
15:00:07,0.01,-0.03,-1.13,179.41,0.27,0.24
15:00:07,-0.04,0.02,-1.24,-179.69,-0.85,0.11
15:00:08,0.02,0.05,-0.93,-178.32,-0.04,0.31
15:00:08,-0.02,0.07,-1.19,-177.41,-0.42,0.26
15:00:09,0,0.05,-1.14,-177.43,-0.21,0.05
15:00:10,-0.03,0.07,-1.22,-177.13,-0.56,0.08
15:00:10,0,0.07,-1.18,-176.95,-0.27,0.04
15:00:11,0.03,0.05,-0.83,-176.77,0.63,0.35
15:00:11,-0.03,0.07,-1.2,-176.95,-0.37,0.37
15:00:12,0,0.04,-1.11,-177.57,-0.08,0.09
15:00:12,0.02,0.02,-0.75,-177.83,0.56,0.36
15:00:13,-0.03,0.05,-1.27,-178.36,-0.83,0.52
15:00:13,-0.01,0.04,-0.9,-177.88,-0.68,0.37
15:00:13,0,0.08,-1.16,-176.96,-0.32,0.26
15:00:15,0.02,0.04,-0.96,-177.29,0.49,0.2
15:00:16,-0.01,0.06,-1.19,-177.23,0.02,0.23
15:00:16,0,0.02,-0.86,-177.76,-0.1,0.33
15:00:17,0,0.06,-0.98,-177.71,0.09,0.12
15:00:17,0,0.01,-1.07,-178.35,0.36,0.09
15:00:18,-0.01,0.07,-0.86,-176.83,-0.17,0.21
15:00:19,0,0.06,-0.93,-176.49,-0.08,0.07
15:00:20,-0.01,0.04,-1.19,-177.51,-0.25,0.26
